model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
hierarchical,10,0.75,0.1,0.05,1.0,0.2796724182353039,0.18762200539587662,0.5616046964473356,1.0,1766.3658386599727
hierarchical,10,0.75,1.0,0.05,1.0,0.2796721060472949,0.18762207599776354,0.5616039591478714,1.0,1766.3658386607797
hierarchical,11,0.25,0.1,0.05,1.0,0.3897668527003985,0.14611038859093442,0.3060425918616034,1.0,999.8082385156345
hierarchical,11,0.25,1.0,0.05,1.0,0.3897632378436168,0.1461089081131313,0.3060417596813683,1.0,999.8082385268572
hierarchical,11,0.5,0.1,0.05,1.0,0.38975599857690624,0.1461057789211665,0.3060428883066859,1.0,999.8082385754725
hierarchical,11,0.5,1.0,0.05,1.0,0.3897706337136735,0.1461109364688045,0.3060432088106976,1.0,999.8082385117465
hierarchical,11,0.75,0.1,0.05,1.0,0.389764590053529,0.14611114850343274,0.30604300275951984,1.0,999.8082385324539
hierarchical,11,0.75,1.0,0.05,1.0,0.3897697628302077,0.14611061629494715,0.306043221479329,1.0,999.8082385122659
hierarchical,12,0.25,0.1,0.05,1.0,0.4025521680678595,0.16784494763762584,0.2872569872395547,1.0,918.3278183800005
hierarchical,12,0.25,1.0,0.05,1.0,0.4025615602232682,0.1678465756584791,0.2872575504091854,1.0,918.3278184048006
hierarchical,12,0.5,0.1,0.05,1.0,0.40255221959402926,0.16784496199801008,0.2872568030090051,1.0,918.3278183800937
hierarchical,12,0.5,1.0,0.05,1.0,0.40255268615578643,0.16784506060369767,0.2872570969802299,1.0,918.3278183800087
hierarchical,12,0.75,0.1,0.05,1.0,0.40255232402805924,0.167845048394023,0.28725741063676924,1.0,918.3278183802971
hierarchical,12,0.75,1.0,0.05,1.0,0.4025574110049363,0.16784631823907498,0.28725958994258033,1.0,918.3278184026382
abstract-hierarchical,1,0.25,0.1,0.05,1.0,0.15625058120571353,0.061259766466857005,0.1515154786482457,1.0,549.2448553050447
abstract-hierarchical,1,0.25,1.0,0.05,1.0,0.156239821053122,0.0612566473412621,0.1515151437185966,1.0,549.2448552992623
abstract-hierarchical,1,0.5,0.1,0.05,1.0,0.15625613073955044,0.06126344541287035,0.15151659046760724,1.0,549.244855309333
abstract-hierarchical,1,0.5,1.0,0.05,1.0,0.15625260693282972,0.06126149660215809,0.15151512455048183,1.0,549.2448552993557
abstract-hierarchical,1,0.75,0.1,0.05,1.0,0.15624864044549602,0.06126030794948057,0.15151534379810233,1.0,549.2448552997533
abstract-hierarchical,1,0.75,1.0,0.05,1.0,0.15629203035790765,0.06127699380414205,0.1515177223208583,1.0,549.2448553396545
abstract-hierarchical,2,0.25,0.1,0.05,1.0,0.37208571677594704,0.20696375115773447,0.3228341480406092,1.0,977.4038497004119
abstract-hierarchical,2,0.25,1.0,0.05,1.0,0.37208042820489523,0.20696371562645507,0.32283344682231857,1.0,977.4038496973697
abstract-hierarchical,2,0.5,0.1,0.05,1.0,1.0,0.28596276443514257,0.32283457050506914,1.0,990.4114179419058
abstract-hierarchical,2,0.5,1.0,0.05,1.0,0.372075000051185,0.2069620082595408,0.32283326226061654,1.0,977.403849698373
abstract-hierarchical,2,0.75,0.1,0.05,1.0,1.0,0.28596330889959165,0.3228346168184997,1.0,990.4114179413828
abstract-hierarchical,2,0.75,1.0,0.05,1.0,0.372076682419783,0.2069624888987258,0.3228346578531721,1.0,977.4038496934915
abstract-hierarchical,3,0.25,0.1,0.05,1.0,0.34951494324986215,0.23220505364298819,0.4863938561602559,1.0,1356.1646606137688
abstract-hierarchical,3,0.25,1.0,0.05,1.0,0.3659657628565933,0.2363258284433696,0.48639488863687885,1.0,1356.1246953436278
abstract-hierarchical,3,0.5,0.1,0.05,1.0,0.36596642851011474,0.23632605545931168,0.48639455466193765,1.0,1356.1246953433356
abstract-hierarchical,3,0.5,1.0,0.05,1.0,0.3495147198763171,0.2322046052531303,0.4863945068201459,1.0,1356.164660612564
abstract-hierarchical,3,0.75,0.1,0.05,1.0,0.36596624272047285,0.23632595447657406,0.4863945409855396,1.0,1356.1246953433267
